gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S12_Block
110,61470.0,0,61470.0,7.726457357406616,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
111,61470.0,0,61470.0,8.389902830123901,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
112,61470.0,0,61470.0,7.717267990112305,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
113,61470.0,0,61470.0,7.865033864974976,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
114,61470.0,0,61470.0,7.622616291046143,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
115,61470.0,0,61470.0,7.676232814788818,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
116,61470.0,0,61470.0,7.376534700393677,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
117,61470.0,0,61470.0,7.338037014007568,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
118,61470.0,0,61470.0,7.603016138076782,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
119,61455.0,0,61455.0,8.888100862503052,0,0,0,61455.0,0,0,0,0,0,1520,11160,4800,800,11000,30000
120,61455.0,0,61455.0,7.363760709762573,0,0,0,61455.0,0,0,0,0,0,1520,11160,4800,800,11000,30000
